new entry "ENCUMBERED_ARMOR"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "hd1919c20ge550g4bebga244ge9e70c331fe6"
data "Description" "h15c5eb66g72f8g47fbgba72gd4066ba54843"
data "Icon" "statIcons_Encumbered"
data "StackId" "ENCUMBERED"
data "RemoveEvents" "OnUnequip"
data "StackPriority" "0"
data "Boosts" "IF(ConditionResult(context.Source.Strength < 20) and not Tagged('DWARF', context.Source)):ActionResourceConsumeMultiplier(Movement,1.5,0);IF(ConditionResult(context.Source.Strength < 13) and not Tagged('DWARF', context.Source)):JumpMaxDistanceMultiplier(0.5);IF(ConditionResult(context.Source.Strength < 13) and not Tagged('DWARF', context.Source)):MovementSpeedLimit(Walk)"
data "OnRemoveFunctors" "RemoveStatus(ENCUMBERED_ARMOR)"
