new itemcolor "Autunite","ffe651","918648","fff3b7"

new itemcolor "Burnished Bronze","ad724b","76503c","dba776"

new itemcolor "Chalcocite","00aac5","00768e","a4d7e2"

new itemcolor "Cobalt","2a4fd7","273b89","637fb7"

new itemcolor "Droxlerite","ad46c0","471450","b381bd"

new itemcolor "Gold","e2bb00","8b6d00","ffdb7c"

new itemcolor "Limonite","c95c18","853820","d4957a"

new itemcolor "Malachite","24ac65","13613c","6ebb7b"

new itemcolor "Mercury","909090","5b5b5b","c7c7c7"

new itemcolor "Pure Mythril","ffffff","a4a4a4","ffffff"

new itemcolor "Red Ore","a81010","590000","eb7474"

new itemcolor "Tenebrium","2d2035","5a4868","575757"

new itemcolor "Venom Stone","4a9c08","155019","84925a"

new itemcolor "Cotton Candy","e674bf","ab2d71","ffc2ea"

new itemcolor "Grumio's Petrolium Brand","9dd92c","229b23","e2d95b"

new itemcolor "Grumio's Favorite Triade","cc3a1c","586aba","cab945"

new itemcolor "ArenaLobby","ad724b","76503c","dba776"

new itemcolor "ArenaRed","851212","970000","414141"

new itemcolor "ArenaBlue","375f92","2184ff","ffd392"

new itemcolor "ArenaGreen","5a6e3d","46a600","ffd392"

new itemcolor "ArenaYellow","a68a59","785628","ffd392"

new itemcolor "Battlemage","3b1e1e","a78965","ceac95"

new itemcolor "Cleric","ad6b36","0165a1","e9e9e9"

new itemcolor "Enchanter","3d3329","97611b","daa550"

new itemcolor "Fighter","ffd392","a13901","c0c0c0"

new itemcolor "Inquisitor","2c2d34","b8a88f","f2dcc3"

new itemcolor "Knight","877067","9c1616","c0c0c0"

new itemcolor "Metamorph","c39a70","591c1c","ac9d80"

new itemcolor "Ranger","876d61","254739","eec07b"

new itemcolor "Rogue","602931","3b5572","aaabb8"

new itemcolor "Shadowblade","3c2121","82282b","c8a79b"

new itemcolor "Conjurer","96774a","625271","b2ada5"

new itemcolor "Wayfarer","402905","72716f","72716f"

new itemcolor "Witch","182333","541616","edcc81"

new itemcolor "Wizard","334865","16232d","edcc81"

new itemcolor "White Prisoner Robe","aeaea2","aeaea2","aeaea2"

new itemcolor "StarterArmorLeatherEarly","594230","BE835A","FDD280"

new itemcolor "StarterArmorLeatherLate","7B6351","6491B8","C0C0C0"

new itemcolor "StarterArmorChainmailEarly","6D503A","580813","C0C0C0"

new itemcolor "StarterArmorChainmailLate","916A4E","6491B8","C0C0C0"

new itemcolor "LeatherCommonEarly","8D5534","4B5E0D","C0C0C0"

new itemcolor "LeatherRareEarly","644B28","255641","FDD280"

new itemcolor "LeatherCommonLate","B28E77","6491B8","F1DBA6"

new itemcolor "LeatherRareLate","592F17","0F699D","F1DBA6"

new itemcolor "ChainCommonEarly","B8A596","4B5E0D","b2ada5"

new itemcolor "ChainRareEarly","ad6b36","0165a1","C0C0C0"

new itemcolor "ChainCommonLate","654938","255641","C0C0C0"

new itemcolor "ChainRareLate","4a3a36","4E80AB","f1e1d7"

new itemcolor "ScaleCommonEarly","897261","671F17","C0C0C0"

new itemcolor "ScaleRareEarly","523B2D","284C7F","D1D1D1"

new itemcolor "ScaleCommonLate","745239","2B2020","C2AD9D"

new itemcolor "ScaleRareLate","232808","173D72","F3E0B4"

new itemcolor "PlateCommonEarly","B8A596","8B2E2E","C0C0C0"

new itemcolor "PlateRareEarly","C0C0C0","34758D","c0c0c0"

new itemcolor "PlateCommonLate","F1DBA6","368995","B8A596"

new itemcolor "PlateRareLate","FDD280","1D523B","C0C0C0"

new itemcolor "MageCommon","86583d","33302c","c0c0c0"

new itemcolor "MageUncommon","556464","51383e","edcc81"

new itemcolor "MageRare","394351","16232d","edcc81"

new itemcolor "MageEpic","182333","541616","edcc81"

new itemcolor "MageMagic","7d0202","eda73a","be835a"

new itemcolor "MagisterRobe","8B2E2E","8B2E2E","8B2E2E"

new itemcolor "MageStarterRobeCommon","0d2972","5e508d","c0c0c0"

new itemcolor "MageStarterRobeRare","5e508d","c79536","c0c0c0"

new itemcolor "DefaultGray","b6b6b6","6a5e3e","acacac"

new itemcolor "LizardsCommon","8a5b46","eec07b","a3a3a3"

